Item	5-May-2024	12-May-2024	19-May-2024	22 May 2024	26-May-2024	2-Jun-2024	9-Jun-2024	16-Jun-2024	23-Jun-2024	30-Jun-2024	7-Jul-2024	14-Jul-2024	21-Jul-2024	28-Jul-2024	4-Aug-2024	11-Aug-2024	18-Aug-2024	25-Aug-2024	1-Sep-2024	8-Sep-2024	15-Sep-2024	22-Sep-2024	29-Sep-2024	6-Oct-2024	13-Oct-2024	20-Oct-2024	27-Oct-2024	3-Nov-2024	10-Nov-2024	17-Nov-2024	24-Nov-2024	1-Dec-2024	8-Dec-2024	15-Dec-2024	22-Dec-2024	5-Jan-2024	12-Jan-2025	19-Jan-2025	26-Jan-2025	9-Feb-2025	16-Feb-2025	23-Feb-2025	2-Mar-2025	9-Mar-2025	16-Mar-2025	23-Mar-2025	30-Mar-2025	6-Apr-2025	13-Apr-2025	20-Apr-2025	27-Apr-2025	4-May-2025	11-May-2025	12-May-2025	18-May-2025	25-May-2025	1-June-2025	8-June-2025	15-June-2025	22-June-2025	29-June-2025	06/07/2025	07/13/2025	07/20/2025	07/27/2025	08/03/2025	10.08.2025	17/08/2025	24/08/2025	31/8/2025	07/09/2025	14/09/2025	09/21/2025	09/28/2025	10/05/2025	12/10/2025	19/10/2025	26/10/2025	28/10/2025	2 Nov 2025	9 Nov 2025	16 Nov 2025	23 Nov 2025	30 Nov 2025	7 Dec 2025	14 Dec 2025	21 Dec 2025	4 Jan 2026	11 Jan 2026		25 Jan 2025	1 Feb 2026	8 Feb 2026	22 Feb 2026	1 Mar 2026	8 Mac 2026	15 Mac 2026	22 March 2026	29/03/2026	5-Apr-2026	12-Apr-2026	18-Apr-2026	19-Apr-2026	26-Apr-2026	3-May-2026	10-May-2026	17-May-2026	24-May-2026	31-May-2026
Nata de coco (open)	1	1	1	1/8	1	1/4	1	1	1	0.2	1	1	1	1	1		1	1	0	1	1	1	1		0	1	1	1	1	1	1	1	1	1	1	1	0.5	0.4		1	1	0.5	0	0	0	1	1	1	0.75	0.5	1	1	1	1	1	0.8	1	1	0	0.75	0.75	1	0.1	1	0.8	0.1	0.25	1	1	1	1	1	1	1	1	0.25	0.5	1		1	0.5	1	0.75	0	1	1	1	1	0.75	1	1	1	0.5	0.25	1	1	1	0.25	0	1	0.25		0	1	0.1	0	0	0.8	0.8
Lemon juice, Liotti (new)	1	1	1	0	0	0	0	0	0	0	2	2	2	2	1	1	0	0	1	2	1	1	2		2	2	1	1	1	1	1	0	1	1	1	1	0	0		4	4	4	4	4	1	5	4	4	4	1	5	3	4	3	1	4	4	3	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2		2	2	2	1	1	1	1	1	3	2	1	1	0	0			0	1	1	0	0	0		0	0	2	0	1	2	1
Lemon juice, Liotti (open)	1	1	1	2	2	2	1	1	0.5	1	1	0.5	0.25	0.25	0.85		1	1	0	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.3		1	1	1	1	0	1	0.5	1	1	0.5	0.2	0	1	1	1	1	1	1	1	1	0.75	0.5	1	0.75	1	1	1	0.5	1	1	1	1	1	1	1	1	0.1	0.1	1		1	0.5	1	1	1	1	1	1	1/2	0.5	0.5	1	1	1	0.75	1	1	1	0.25	0.1	1	0.5		0.3	1	0	1	1	0.5	0.1
Monin passion fruit syrup (new), check storeroom	0	0	2	2	2	2	1	1	1		1	1	1	1	1	0	0	0	0	1	1	0	0		2	2	2	2	1	1	1	1	1	1	1	1	2	1		2	2	1	2	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1		0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1		1	1	0.1	1	1	1	1
Monin passion fruit syrup (open)	1	1	1	1	1	1/4	1	1	0.25	0.25	1	0.25	0.25	0.25	0.25		1	1	1	1	1	1	1		1	1	1	1	2	1	1	1	1	1	1	2/3	0.25	0.5		1	1	1	1	1	1	0.75	1	1	0.75	0.75	0.75	0.5	0.5	1	1	1	1	1	1	0.75	0.75	0.75	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	0.25	0.25	0.25		1	0.75	1	1	1/4	1/4	1/4	1/4	1/3	0.25	0.25	1	1	1	0.75	1	1	1	0.75	0.5	1	0.5		0.5	1	1	0	0	0	1
Monin lemon syrup (new), check storeroom	1	1	0	1	1		0	1	1		1	1	1	1	1	1	1	1	1	1	1	0	0		1	1	1	1	1	1	1	1	1		1	1	1	1		1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0		0	1	0	2	1	0	0	0		0	0	2	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	1	1		1	1	1	1	1	0	3
Monin lemon syrup (open)	1	1	1	1/8	1	1/4	1	1	0.25	0.25	1	0.25	0.25	0.25	0.25		1	1	0.5	0	1	1	1		1	1	1	1	1	1	1	1	1		1	2/3	0.25	0.25		1	1	1	1	1	1	0.25	1	1	0.75	0.75	0.75	1	0.75	1	1	1	1	1	1	0.5	0.5	0.5	0.25	0	0	0	0	1	1	1	1	1	1	1	1	0.5	0.5	0.25		1	0.25	1	0.25	1	0.25	0	0	1	1	1	1	1	1	0.5	1	1	1	0.25	0.2	1	0.25		0.5	1	1	1	0.1	0.9	0.9
Monin orange fruitmix (new)																																																														1	1	1	1	1	1	1	1	1	0	0	2	2	1	2	2	2		2	2	2	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	1	0	1	1		1	0	1	3	3	3	0
Monin orange fruitmix (open)																																																														0.5	0.25	1	1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	0.75	0.7	0.75		1	0.5	1	0.5	1	0.5	1/2	1/3	1/3	0.75	0.5	1	1	1	0.75	0.75	1	1	0.5	0.5	1	0.75		0.7	0	0	1	1	0.6	0.5
Butterfly pea tea (new)	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	1	1		1/2	1/2	1/3	1/3	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1/5	1/5	0	0	2	2	1	1		0.25	0.25	0.25	0	0	0	2	2	1.5	1	1	1	0	0	0		0	0	0	0	1	1		0	0	0	0	0	0	0
Butterfly pea tea (open)	1	1	1	1	1	1/4	0	0	0	0.2	1	0.75	0.75	0.5	0.2		1	1	1	1	1	1	1		1	1	0	0	2	0.5	0.3	1	1	0.3	0.5	0.5	0.5	0.3		1/3	1/3	1/3	1/4	1	1	0.25	1	1	0.75	0.5	0.2	0.2	0.2	0.5	1	0.6	0.6	0.25	0.15	0	0.5	1	0.25	0.25	0.2	0.1	0.1	1	1	0.1	1		1/3	1/3	1/2	0.25	0.8	0.25		0.5	0.5	0.5	0.5	0.5	0.5	1	1	1/3	0.75	0.5	1	1	0	0	1	1	1	0	0	0.25	0.25		0.25	0.25	0.8	0.8	0.5	0	0.2
Sugar syrup	1	1	1	0	0	1	1	1	0		0.5	0	1	1	1		1	1	1	1	1	1	1		1	1	1	1	1	1	0.8	1	1	0.5	0.5	0																																																																									
								0																																																																																																					
Ice	1	1	1	1	1	1/2	1	1	1	0.8	0	2	4	2	1	1	0	1	0	0	1	0	1		2	1	1	0	1	1	0.8	1	1	1	0	1	2	0.5		0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0.5	1	0	0	0.75	0	0.5	1	0	2	4.5	2	0	0	0	0	1	0.8	1	2		0	0	0	0	0	0	1	1			1	1		0	0	0	0	0	0	2				0.5	0	0		0	0	0.3	0	0	0	0
Coffee beans (new), check storeroom	2	0	4	2	1	2	4	2	2	4		2	0	4	4	0	2	1	2	0	2	1	3		3	2	0	2	0	1	0	0	1	1	0	0	2	0		2	0	2	0	3	1	3	0	3	2	0	2	1	4	2	0	0	1	3	2	5	3	2	0	1	1	2	1	0	2	0	3	3	1.5		0	1	0	4		3	2	0	4	1	1	2	1	0	1	2	2	0	2	2	0	1	0	3	0	0	3		1	2	0	2	1	2	3
Coffee beans (open)	1	0	1	1/2	1	1/2	1/4	1/4	1	0		0.25	0.25	0.25	0.25		1/4	1/2	0	0	1	0	1		1	1	0	1	1	1/3	4/5	0	0.2	0	0.8	0	0.5	0		1	1	1	1	0	1	0.5	0.5	1	0.5	0.5	0.5	0		0.9	1	0.8	1	1	0.5	0.5	0.75	1	0.25	0.75	0.75	0.5	0.25	0.25	1	1	1	1	1		0	0.75	0.8	0.8		0.5	0.5	1	0.25	1	1	1	0.2	0.2	0.75	0.75	0,5	0.25	0.8	0.15	0.15	1	1	0.75	0.2	0.5	0.5		0.5	0.5	0.8	1	1		0.5
Decaf (new), check storeroom	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1		1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0
Decaf (open)	1	1	1	1/8	1	1/4	1/4	0	1	1	1	0.75	0.75	5	5		1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	0.1	0	0.8		0.5	0.5		1/4	0	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	0.5	0	0	1	0.9	1	1	0.15	0	0.75	0.75	0.75	0.75	0.7	0.5	0	1	1	1	1/5	0	1	1	1	0.75	0.7	0.75		0.5	0	0.3	0.75	0.75	0.5	0.5	0.9	0.9	0.75	0.7	0,4	0.25	0.2	1	1	1	1	0.75	0.5	0.5	0.5		0.5	1	0.8	0.4	0.5	0	0
																																																																																																													
Chocolate powder 63% Tiger (new), check storeroom	0	0	0	0	0	2	1	1	1	2	0	1	1	1	1	1	1	1			0	0	0		2	2	0	1	1	1	1	1	1	1	0	0	2			2	1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0		0	0	0	0	0	0	1
Chocolate powder 63% Tiger (open)	1	1	1	1/3	1	1/2	1/2	1/2	1/2	0.5	1	0.75	0.75	0.5	0.5		1/2	1/2	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	0.5	0.5	0.5	0.5		1	1	1	1	1	1	0.75	1	1	0.5	0.4	0.4	0	0	1	1	1	0.5	0.5	1	0.75	0.5	0	0.75	0.75	0.3	0.5	0.5	0.5	1	1	1	1	1	1	1/2	0.75	0.75	0.5		0.5	0.5	0	0	1	1	1	1	1/4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1/2	0.5	0.5	0.5	0.5		0.5	0.5	0.3	0.3	0.2	0.1	0.8
Chocolate powder 50% Unicorn (new), check storeroom	0	0	0	0	0	0																																																																																																				2	2	1	0
Chocolate powder 50% Unicorn (open)	0	0	1	0	0	0																																																																																																				0	0	0	0
Houjicha powder (new) - will discontinue selling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0																																									0	0	0	0		0	0	0	0		0																								
Houjicha powder (open)	1	1	1	1/3	1	1/4	1/4	1/4	0	0		0	0	0	0				0	0	0	0	0		1	2	1	1	1	1	1	1	1	1	0	1	0.75	0.75		1	1	1	0	0	0	0.5	1	0	0.75	0.75	0.75	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5						0.5	1	1	1	0	0	0	0	0	0.75	0.75	0.75		0.75	0.75		0.5		0																								
Chai latte powder (new)																																			1	1	1	1		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	0	0																			
Chai latte powder (open)																																								1	1	1	1/3	1	1	0.5			0.25	0.2	0.25	0	0.25	0.1	0	0	1	1	0.5	0.5	0.5	1	0.5	0.5	0.4	0.5	0.5	1	1	1	1	1	1	1	1	0.25	0.25	0.25		0.25	0.2	0.2	0.25		0.25	0	0	0	0	0																			
Matcha Powder																																																																												0	0	0		1	1	1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	1	1	1	0	0	0.2
Matcha Powder																																																																										1	1	0.75	0.7	0.75		0.5	0.5	0.5	0.25	0.5	0.5	1	1	1	0.75	0.5	1	1	0.7	0.7	0.7	0.7	1	0.75	0.75	0.75	0.75		0.75	0.5	0.2	0.2	0	0	0.2
